,freq,itm_newa,indic_ag,unit,geo\TIME_PERIOD,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54129,A,27000,PROD_BP,MIO_EUR,EA,,,,,,,,,,,,,,,,,,,68025.86,65876.86,62235.5,68573.98,72622.53,79040.23,78589.03,75791.89,73166.54,76078.63,88157.21,80870.88,82215.02,85380.62,75364.95,78336.73,87668.08,80289.95,66334.73,82180.78,85910.85,86050.65,89446.51,89182.15,86528.11,85659.24,98092.25,94804.41,97184.42,92459.12,99187.47
54130,A,27000,PROD_BP,MIO_EUR,EA11,,,,,,,,,,,,,,,,,,,68025.86,65876.86,62235.5,68573.98,72622.53,79040.23,78589.03,75791.89,73166.54,76078.63,81603.7,74469.12,75872.18,79106.68,69233.49,72513.75,80962.25,73912.52,59661.18,74832.35,78735.93,78646.25,82585.43,81808.5,78132.06,78375.83,89680.6,87062.29,88498.08,83077.08,90072.45
54131,A,27000,PROD_BP,MIO_EUR,EA12,,,,,,,,,,,,,,,,,,,,,67928.43,75133.78,79546.94,85819.46,85480.83,82447.47,79951.38,82649.77,88157.21,80870.88,82215.02,85380.62,75364.95,78336.73,87333.95,79718.31,65695.27,81497.15,84777.77,84883.09,88399.87,87740.93,84412.33,83810.44,95801.23,92850.36,94779.49,89585.96,96490.8
54132,A,27000,PROD_BP,MIO_EUR,EA16,,,,,,,,,,,,,,,,,,,,,,,,,,82775.37,80280.75,82970.12,88483.85,81309.95,82480.19,86107.6,76059.53,79046.03,88122.94,80528.73,66334.73,82180.78,85624.9,85719.06,89153.54,88588.5,85257.25,84761.21,96747.2,93939.46,95855.87,90783.4,97514.88
54133,A,27000,PROD_BP,MIO_EUR,EA19,,,,,,,,,,,,,,,,,,,,,,,,,,83293.87,80661.16,83359.56,88911.07,81717.96,82850.06,86811.45,76846.3,79855.99,89181.02,81426.68,67006.69,83116.31,86851.12,87289.25,90483.09,89831.52,86528.11,85659.24,98092.25,94804.41,97184.42,92459.12,99187.47
54134,A,27000,PROD_BP,MIO_EUR,EE,,,,,,,,,,,,,,,,,,,,,,,18.7,69.4,51.68,93.17,36.49,86.03,111.85,103.73,69.07,148.51,158.92,163.45,236.36,153.75,116.08,210.53,285.94,331.58,292.98,267.09,165.41,57.38,189.49,103.95,175.83,183.87,176.24
54135,A,27000,PROD_BP,MIO_EUR,EL,,,,,,,,,,,,,,,,,,,,,5692.93,6559.81,6924.4,6779.23,6891.8,6655.57,6784.84,6571.14,6553.51,6401.77,6342.84,6273.93,6131.46,5822.98,6371.7,5805.79,6034.08,6664.8,6041.83,6236.84,5814.44,5932.44,6280.27,5434.62,6120.63,5788.07,6281.41,6508.88,6418.36
54136,A,27000,PROD_BP,MIO_EUR,ES,,,,,,,,,,,,,,,,,,15171.68,15038.34,13009.56,14134.52,15378.8,15514.74,18607.99,18520.36,18614.56,17015.2,18314.5,20588.44,20231.44,22979.63,21967.28,19553.01,19287.52,22333.34,19538.09,17624.02,19508.76,18252.68,18589.05,19635.62,19616.0,20539.83,23367.65,24560.05,23854.99,22591.97,21650.77,23094.23
54137,A,27000,PROD_BP,MIO_EUR,EU,,,,,,,,,,,,,,,,,,,,,76848.08,84874.83,90339.35,96162.52,94356.82,89287.95,86386.83,89385.92,95590.86,88227.03,89970.76,92946.21,91066.13,95372.56,111006.38,106629.83,87126.51,108897.28,118834.25,117664.47,123374.16,121887.3,115492.63,115553.16,132684.4,126890.64,131522.43,117714.82,123753.29
54138,A,27000,PROD_BP,MIO_EUR,EU15,,,,,,,,,,,,,,,,,,,,,76848.08,84874.83,90339.35,96162.52,94356.82,89287.95,86386.83,89385.92,95590.86,88227.03,89970.76,92946.21,82987.6,86331.23,95838.05,88383.73,73311.61,90440.59,95658.84,96844.66,99668.62,99659.41,94444.14,92587.55,107428.62,102374.45,105736.47,,
54139,A,27000,PROD_BP,MIO_EUR,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,94559.66,90103.18,93594.5,100975.02,92482.7,93453.07,100770.72,91066.13,95372.56,107143.19,99962.28,82786.16,102711.38,111228.83,111549.75,115243.69,113916.6,108235.83,106738.37,123193.95,117173.36,121696.43,,
54140,A,27000,PROD_BP,MIO_EUR,EU27_2007,,,,,,,,,,,,,,,,,,,,,,,,,,1595774.08,94307.02,97502.89,106754.97,97286.34,98681.78,107516.26,96019.41,100461.37,111006.38,106629.83,87126.51,108897.28,118834.25,117664.47,122618.01,121258.9,114636.76,114624.43,131737.79,125857.26,130392.84,,
54141,A,27000,PROD_BP,MIO_EUR,EU27_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91399.51,96002.43,106213.04,100727.23,81782.82,103417.58,111650.9,110213.66,114716.48,112732.6,107329.78,108422.9,123801.26,119086.91,123067.61,117714.82,123753.29
54142,A,27000,PROD_BP,MIO_EUR,EU27_2020_EFTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109579.13,104342.57,85225.09,107191.23,115934.1,114632.19,119080.39,117456.28,112104.32,113379.21,128452.65,123645.0,127848.22,122889.64,128610.38
54143,A,27000,PROD_BP,MIO_EUR,EU28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96712.27,101308.22,111855.56,107672.58,88118.59,109803.62,119678.82,118376.17,123374.16,121887.3,115492.63,115553.16,132684.4,126890.64,131522.43,,
54144,A,27000,PROD_BP,MIO_EUR,FI,,,,915.75,726.03,691.44,687.52,915.96,815.26,1283.83,1413.92,1530.21,1616.44,1648.41,968.54,1541.52,1983.75,2647.01,2213.85,1764.46,1634.39,1628.2,2252.56,1683.9,1640.56,1216.28,1507.0,1676.6,1681.8,1581.5,1475.1,1399.73,1472.52,1402.57,1684.17,1433.35,1652.37,1705.32,1426.29,1439.78,1393.04,1350.37,997.04,1070.08,1073.95,1172.65,1285.79,1368.81,1025.72
54145,A,27000,PROD_BP,MIO_EUR,FR,10772.75,9294.09,10083.57,11138.83,10704.39,12351.47,13366.41,12739.95,13622.76,16727.97,14852.8,14539.21,14814.79,15095.3,14636.14,13752.24,16863.33,18477.86,15307.06,16598.01,15781.41,18179.05,19209.62,19183.6,18899.13,19562.38,18122.71,17655.26,17138.34,16764.49,16014.6,15743.11,13976.62,16048.98,18900.35,15077.59,10718.81,17886.46,18690.27,18527.62,14335.86,17122.66,18350.03,14840.06,18238.19,21591.94,19344.89,18903.67,23131.61
54146,A,27000,PROD_BP,MIO_EUR,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692.87,846.85,849.18,1042.75,992.08,906.34,844.57,711.7,756.16,628.4,855.87,928.73,946.6,1033.37,1129.59,1174.84,1519.47
54147,A,27000,PROD_BP,MIO_EUR,HU,,,,,,,,,,,,,,,,,,,,,,,,,1178.86,1320.69,957.76,901.38,1006.99,788.41,715.39,1391.07,1365.86,1401.69,1458.04,2095.11,1131.73,1559.98,2636.18,2200.41,2576.58,2862.9,2469.63,2595.41,2683.03,2560.67,2515.97,2415.94,2622.02
54148,A,27000,PROD_BP,MIO_EUR,IE,,,,,,,,,,,,,,,,,,1993.56,1819.6,2256.35,2213.04,2261.08,2293.86,2405.25,2352.71,2232.82,1930.51,2163.09,2177.15,2024.73,2060.07,2177.43,2589.87,2185.58,2441.99,2118.25,1428.98,1841.33,2515.55,2280.35,2355.7,2441.07,2587.21,2625.97,3423.82,2759.8,2862.56,3146.41,3699.56
